"Id","FeedItemId","FieldName","DataType","OldValueString","NewValueString","OldValueFirstName","NewValueFirstName","OldValueLastName","NewValueLastName","OldValueNumber","NewValueNumber","OldValueDate","NewValueDate"
"0D68a0000GuvH8WCQU","0D58a00009AKxLcCAL","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuvHfiCQE","0D58a00009AKx8JCAT","Who","EntityId","","0038a00003A1AaP","","","","","","","",""
"0D68a0000GuvHfjCQE","0D58a00009AKx8JCAT","Who","Text","","","","Galo","","Carvajal","","","",""
"0D68a0000GuvHfkCQE","0D58a00009AKx8JCAT","What","EntityId","","0018a000024zBBG","","","","","","","",""
"0D68a0000GuvHflCQE","0D58a00009AKx8JCAT","What","Text","","Havas Plus","","","","","","","",""
"0D68a0000GuvHfmCQE","0D58a00009AKx8JCAT","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuvMAyCQM","0D58a00009AKzGyCAL","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuvMAzCQM","0D58a00009AKzGyCAL","Subject","DynamicEnum","","Call","","","","","","","",""
"0D68a0000GuvMB0CQM","0D58a00009AKzGyCAL","Who","EntityId","","0038a00003A0xTf","","","","","","","",""
"0D68a0000GuvMSHCQ2","0D58a00009AKzGyCAL","Who","Text","","","","Alejandra","","Marmol","","","",""
"0D68a0000GuvMSICQ2","0D58a00009AKzGyCAL","What","EntityId","","0068a00001M5Ngz","","","","","","","",""
"0D68a0000GuvMSJCQ2","0D58a00009AKzGyCAL","What","Text","","ALPINA PILOT","","","","","","","",""
"0D68a0000GuvMSKCQ2","0D58a00009AKzGyCAL","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuvNXQCQ2","0D58a00009AKzmWCAT","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuvNXRCQ2","0D58a00009AKzmWCAT","Subject","DynamicEnum","","Media Day","","","","","","","",""
"0D68a0000GuvNXSCQ2","0D58a00009AKzmWCAT","Location","Text","","Markplan","","","","","","","",""
"0D68a0000GuvNXTCQ2","0D58a00009AKzmWCAT","StartDateTime","DateTime","","","","","","","","","","2023-01-19 21:00:00"
"0D68a0000GuvNXUCQ2","0D58a00009AKzmWCAT","EndDateTime","DateTime","","","","","","","","","","2023-01-19 22:00:00"
"0D68a0000GuvNXVCQ2","0D58a00009AKzmWCAT","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GuvUv1CQE","0D58a00009AL2JbCAL","feedEvent","Text","","","","","","","","","",""
"0D68a0000GuvUv2CQE","0D58a00009AL2JbCAL","Subject","DynamicEnum","","Evaluación de Oportunidades","","","","","","","",""
"0D68a0000GuvUv3CQE","0D58a00009AL2JbCAL","Location","Text","","online","","","","","","","",""
"0D68a0000GuvUv4CQE","0D58a00009AL2JbCAL","StartDateTime","DateTime","","","","","","","","","","2023-01-18 21:00:00"
"0D68a0000GuvUv5CQE","0D58a00009AL2JbCAL","EndDateTime","DateTime","","","","","","","","","","2023-01-18 22:00:00"
"0D68a0000GuvUv6CQE","0D58a00009AL2JbCAL","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyL8PiCQK","0D58a00009Bqv8HCAR","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyL8PjCQK","0D58a00009Bqv8HCAR","Subject","DynamicEnum","","Visita a Tiendas con Gerente de Marketing","","","","","","","",""
"0D68a0000GyL8PkCQK","0D58a00009Bqv8HCAR","Location","Text","","","","","","","","","",""
"0D68a0000GyL8PlCQK","0D58a00009Bqv8HCAR","StartDateTime","DateTime","","","","","","","","","","2023-01-23 15:00:00"
"0D68a0000GyL8PmCQK","0D58a00009Bqv8HCAR","EndDateTime","DateTime","","","","","","","","","","2023-01-23 17:00:00"
"0D68a0000GyL8PnCQK","0D58a00009Bqv8HCAR","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyL8ytCQC","0D58a00009BqvPqCAJ","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyL8yuCQC","0D58a00009BqvPqCAJ","Subject","DynamicEnum","","Reunión para evaluación de Dashboards con todo el equipo","","","","","","","",""
"0D68a0000GyL91aCQC","0D58a00009BqvPqCAJ","Who","EntityId","","0038a00003A0xXE","","","","","","","",""
"0D68a0000GyL91bCQC","0D58a00009BqvPqCAJ","Who","Text","","","","Alvaro","","Erazo","","","",""
"0D68a0000GyL91cCQC","0D58a00009BqvPqCAJ","What","EntityId","","0018a000024zBBF","","","","","","","",""
"0D68a0000GyL91dCQC","0D58a00009BqvPqCAJ","What","Text","","Norlop Thompson: Group M","","","","","","","",""
"0D68a0000GyL91eCQC","0D58a00009BqvPqCAJ","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyL91fCQC","0D58a00009BqvPrCAJ","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyL9PkCQK","0D58a00009BqvjyCAB","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyL9PlCQK","0D58a00009BqvjyCAB","Subject","DynamicEnum","","Definición de Media Day","","","","","","","",""
"0D68a0000GyL9PmCQK","0D58a00009BqvjyCAB","Who","EntityId","","0038a000039zpQa","","","","","","","",""
"0D68a0000GyL9PnCQK","0D58a00009BqvjyCAB","Who","Text","","","","Rossaura","","Guerrero","","","",""
"0D68a0000GyL9PoCQK","0D58a00009BqvjyCAB","What","EntityId","","0018a000024zB8P","","","","","","","",""
"0D68a0000GyL9PpCQK","0D58a00009BqvjyCAB","What","Text","","Markplan","","","","","","","",""
"0D68a0000GyL9PqCQK","0D58a00009BqvjyCAB","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyL9doCQC","0D58a00009BqvPrCAJ","Subject","DynamicEnum","","Call Valeria Aspiazu","","","","","","","",""
"0D68a0000GyL9dpCQC","0D58a00009BqvPrCAJ","Who","EntityId","","0038a00003A0xXD","","","","","","","",""
"0D68a0000GyL9dqCQC","0D58a00009BqvPrCAJ","Who","Text","","","","Valeria","","Aspiazu","","","",""
"0D68a0000GyL9drCQC","0D58a00009BqvPrCAJ","What","EntityId","","0068a00001M87tu","","","","","","","",""
"0D68a0000GyL9dsCQC","0D58a00009BqvPrCAJ","What","Text","","Coca Cola Piloto Pagado","","","","","","","",""
"0D68a0000GyL9dtCQC","0D58a00009BqvPrCAJ","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLA3WCQW","0D58a00009BqwY6CAJ","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLA3XCQW","0D58a00009BqwY6CAJ","Subject","DynamicEnum","","Seguimiento para oportunidades","","","","","","","",""
"0D68a0000GyLA3YCQW","0D58a00009BqwY6CAJ","Who","EntityId","","0038a00003A1ZYR","","","","","","","",""
"0D68a0000GyLA4SCQW","0D58a00009Bqw7ZCAR","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLA4TCQW","0D58a00009Bqw7ZCAR","Subject","DynamicEnum","","Call Gabriela Espinosa para evaluar oportunidades","","","","","","","",""
"0D68a0000GyLA4UCQW","0D58a00009Bqw7ZCAR","Who","EntityId","","0038a00003A1ZVD","","","","","","","",""
"0D68a0000GyLA4VCQW","0D58a00009Bqw7ZCAR","Who","Text","","","","Gabriela","","Espinosa","","","",""
"0D68a0000GyLA4WCQW","0D58a00009Bqw7ZCAR","What","EntityId","","0068a00001M87y1","","","","","","","",""
"0D68a0000GyLA4XCQW","0D58a00009Bqw7ZCAR","What","Text","","Nestle Pilot","","","","","","","",""
"0D68a0000GyLA4YCQW","0D58a00009Bqw7ZCAR","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLA4ZCQW","0D58a00009Bqw7aCAB","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLA4aCQG","0D58a00009Bqw7aCAB","Subject","DynamicEnum","","Seguimiento Firma de Convenio","","","","","","","",""
"0D68a0000GyLA4bCQG","0D58a00009Bqw7aCAB","Who","EntityId","","0038a00003A16ds","","","","","","","",""
"0D68a0000GyLA4cCQG","0D58a00009Bqw7aCAB","Who","Text","","","","Catalina","","Lescano","","","",""
"0D68a0000GyLABrCQO","0D58a00009Bqw7aCAB","What","EntityId","","0018a000024zBDZ","","","","","","","",""
"0D68a0000GyLABsCQO","0D58a00009Bqw7aCAB","What","Text","","Mediabrands - IPG","","","","","","","",""
"0D68a0000GyLABtCQO","0D58a00009Bqw7aCAB","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLABuCQO","0D58a00009Bqw7bCAB","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLABvCQO","0D58a00009Bqw7bCAB","Subject","DynamicEnum","","Seguimiento Firma de Convenio","","","","","","","",""
"0D68a0000GyLABwCQO","0D58a00009Bqw7bCAB","Who","EntityId","","0038a00003A1AYE","","","","","","","",""
"0D68a0000GyLAGJCQ4","0D58a00009BqwEyCAJ","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLAGKCQ4","0D58a00009BqwEyCAJ","Subject","DynamicEnum","","Buscar Reunión con Galo Carvajal","","","","","","","",""
"0D68a0000GyLAGLCQ4","0D58a00009BqwEyCAJ","Who","EntityId","","0038a00003A1AaP","","","","","","","",""
"0D68a0000GyLAGMCQ4","0D58a00009BqwEyCAJ","Who","Text","","","","Galo","","Carvajal","","","",""
"0D68a0000GyLAGNCQ4","0D58a00009BqwEyCAJ","What","EntityId","","0018a000024zBBG","","","","","","","",""
"0D68a0000GyLAGOCQ4","0D58a00009BqwEyCAJ","What","Text","","Havas Plus","","","","","","","",""
"0D68a0000GyLAGPCQ4","0D58a00009BqwEyCAJ","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLAL2CQO","0D58a00009Bqw7bCAB","Who","Text","","","","Luis","","Cajas","","","",""
"0D68a0000GyLAL3CQO","0D58a00009Bqw7bCAB","What","EntityId","","0018a000024zBBG","","","","","","","",""
"0D68a0000GyLAL4CQO","0D58a00009Bqw7bCAB","What","Text","","Havas Plus","","","","","","","",""
"0D68a0000GyLAL5CQO","0D58a00009Bqw7bCAB","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLAXyCQO","0D58a00009BqwOUCAZ","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLAXzCQO","0D58a00009BqwOUCAZ","Subject","DynamicEnum","","Buscar presentación con Gerente Sierra - Francisco Espinosa","","","","","","","",""
"0D68a0000GyLAY0CQO","0D58a00009BqwOUCAZ","Who","EntityId","","0038a00003A1ZYR","","","","","","","",""
"0D68a0000GyLAY1CQO","0D58a00009BqwOUCAZ","Who","Text","","","","Karla","","Gaona","","","",""
"0D68a0000GyLB6dCQG","0D58a00009BqwY6CAJ","Who","Text","","","","Karla","","Gaona","","","",""
"0D68a0000GyLB6eCQG","0D58a00009BqwY6CAJ","What","EntityId","","","","","","","","","",""
"0D68a0000GyLB6fCQG","0D58a00009BqwY6CAJ","What","EntityId","","","","","","","","","",""
"0D68a0000GyLB6gCQG","0D58a00009BqwY6CAJ","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLBLMCQ4","0D58a00009BqwOUCAZ","What","EntityId","","","","","","","","","",""
"0D68a0000GyLBLNCQ4","0D58a00009BqwOUCAZ","What","EntityId","","","","","","","","","",""
"0D68a0000GyLBLOCQ4","0D58a00009BqwOUCAZ","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GyLBaXCQW","0D58a00009BqwxfCAB","feedEvent","Text","","","","","","","","","",""
"0D68a0000GyLBaYCQW","0D58a00009BqwxfCAB","Subject","DynamicEnum","","Call seguimiento Campaña Lotería","","","","","","","",""
"0D68a0000GyLBaZCQW","0D58a00009BqwxfCAB","Who","EntityId","","0038a00003A1ZaS","","","","","","","",""
"0D68a0000GyLBaaCQG","0D58a00009BqwxfCAB","Who","Text","","","","Viviana","","Vallejo","","","",""
"0D68a0000GyLBabCQG","0D58a00009BqwxfCAB","What","EntityId","","0068a00001M5Nkm","","","","","","","",""
"0D68a0000GyLBacCQG","0D58a00009BqwxfCAB","What","Text","","LOTERIA NACIONAL PILOT FOLLOW UP","","","","","","","",""
"0D68a0000GyLBadCQG","0D58a00009BqwxfCAB","__RecordType__","Text","","","","","","","","","",""
"0D68a0000GzAJs4CQG","0D58a00009C8YGRCA3","feedEvent","Text","","","","","","","","","",""
